objectid,name
1100,"THE UNIVERSITY OF TENNESSEE-KNOXVILLE"
1101,"AMERICAN ACADEMY OF ART"
1102,"BUTTE COLLEGE"
1103,"SAINT MARY'S COLLEGE OF CALIFORNIA"
1104,"ALBANY BOCES-ADULT PRACTICAL NURSING PROGRAM"
1105,"ULSTER BOCES-SCHOOL OF PRACTICAL NURSING"
1106,"PAINE COLLEGE"
1107,"INSTITUTE FOR CLINICAL SOCIAL WORK"
1108,"BOISE BIBLE COLLEGE"
1109,"NORTH IDAHO COLLEGE"
111,"FLORIDA CAREER COLLEGE-PEMBROKE PINES"
1110,"KENNETH SHULER SCHOOL OF COSMETOLOGY-COLUMBIA"
1111,"CONVERSE COLLEGE"
1112,"KING UNIVERSITY"
1113,"CLOVER PARK TECHNICAL COLLEGE"
1114,"UNIVERSITY OF CALIFORNIA-SANTA CRUZ"
1115,"WEST MICHIGAN COLLEGE OF BARBERING AND BEAUTY"
1116,"THE CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY AT ANAHEIM"
1117,"CALIFORNIA NURSES EDUCATIONAL INSTITUTE"
1118,"VINCENNES BEAUTY COLLEGE"
1119,"AMERICAN COLLEGE OF HAIRSTYLING-DES MOINES"
112,"ARIZONA COLLEGE OF NURSING-LAS VEGAS"
1120,"UNIVERSITY OF CONNECTICUT-WATERBURY CAMPUS"
1121,"UNIVERSITY OF CONNECTICUT-STAMFORD"
1122,"PROVIDENCE CHRISTIAN COLLEGE"
1123,"NATIONAL CAREER COLLEGE"
1124,"MILAN INSTITUTE-BAKERSFIELD"
1125,"HOMESTEAD SCHOOLS"
1126,"RELAY GRADUATE SCHOOL OF EDUCATION"
1127,"SOUTH UNIVERSITY-SAVANNAH ONLINE"
1128,"ASBURY UNIVERSITY"
1129,"CENTRE COLLEGE"
113,"TEXAS COLLEGE OF COSMETOLOGY-LUBBOCK"
1130,"FORTIS COLLEGE-MONTGOMERY"
1131,"DEVRY UNIVERSITY-VIRGINIA"
1132,"RIVEROAK TECHNICAL COLLEGE"
1133,"CLAYTON STATE UNIVERSITY"
1134,"DALTON STATE COLLEGE"
1135,"NATIONAL LOUIS UNIVERSITY"
1136,"BUCKEYE HILLS CAREER CENTER"
1137,"CEDARVILLE UNIVERSITY"
1138,"CENTRAL STATE UNIVERSITY"
1139,"THE UNIVERSITY OF TENNESSEE-MARTIN"
114,"THE CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY AT XAVIER UNIVERSITY OF LOUISIANA"
1140,"OUR LADY OF THE LAKE UNIVERSITY"
1141,"LAKELAND UNIVERSITY"
1142,"MILWAUKEE INSTITUTE OF ART & DESIGN"
1143,"UNIVERSITY OF WISCONSIN-SYSTEM ADMINISTRATION"
1144,"TDDS TECHNICAL INSTITUTE"
1145,"AUTRY TECHNOLOGY CENTER"
1146,"VISTA COLLEGE-ONLINE"
1147,"CENTURA COLLEGE-NEWPORT NEWS"
1148,"UNION COLLEGE"
1149,"SAN JOAQUIN VALLEY COLLEGE-VISALIA"
115,"EMORY UNIVERSITY-OXFORD COLLEGE"
1150,"COLORADO COLLEGE"
1151,"COLORADO TECHNICAL UNIVERSITY-COLORADO SPRINGS"
1152,"BEVILL STATE COMMUNITY COLLEGE"
1153,"JOHN BROWN UNIVERSITY"
1154,"NORTH ARKANSAS COLLEGE"
1155,"CONTRA COSTA COMMUNITY COLLEGE DISTRICT OFFICE"
1156,"ALBANY TECHNICAL COLLEGE"
1157,"ARTHUR'S BEAUTY COLLEGE"
115773,"Humphreys University"
1158,"APPALACHIAN STATE UNIVERSITY"
1159,"LOUISBURG COLLEGE"
116,"PROTEGE ACADEMY"
1160,"PITTSBURGH THEOLOGICAL SEMINARY"
1161,"VILLANOVA UNIVERSITY"
1162,"SWARTHMORE COLLEGE"
1163,"UNIVERSITY OF JAMESTOWN"
1164,"HIGHLINE COLLEGE"
1165,"CENTRAL WASHINGTON UNIVERSITY"
1166,"VALLEY CITY STATE UNIVERSITY"
1167,"PAUL MITCHELL THE SCHOOL-BIRMINGHAM"
1168,"BORNER'S BARBER COLLEGE"
1169,"TURTLE MOUNTAIN COMMUNITY COLLEGE"
117,"CHAMBERLAIN UNIVERSITY-NEVADA"
1170,"MEDIATECH INSTITUTE-DALLAS"
1171,"AVEDA ARTS & SCIENCES INSTITUTE-SAN ANTONIO"
1172,"TECHNICAL LEARNING CENTERS INC"
1173,"UNIVERSAL COLLEGE OF HEALING ARTS"
1174,"SOUTH TEXAS TRAINING CENTER"
1175,"ADVANCED WELDING INSTITUTE"
1176,"PAUL MITCHELL THE SCHOOL-MEMPHIS"
1177,"WELLSPRING SCHOOL OF ALLIED HEALTH-KANSAS CITY"
1178,"DENVER COLLEGE OF NURSING"
1179,"NORTHWESTERN CONNECTICUT COMMUNITY COLLEGE"
118,"MILLIGAN UNIVERSITY"
1180,"DELAWARE TECHNICAL COMMUNITY COLLEGE-TERRY"
1181,"ALBIZU UNIVERSITY-MIAMI"
1182,"CHARLOTTE TECHNICAL COLLEGE"
1183,"SOUTH UNIVERSITY-WEST PALM BEACH"
1184,"ECKERD COLLEGE"
1185,"EMBRY-RIDDLE AERONAUTICAL UNIVERSITY-DAYTONA BEACH"
1186,"UNIVERSITY OF WESTERN STATES"
1187,"FLORIDA CAREER COLLEGE-MIAMI"
1188,"FORT PIERCE BEAUTY ACADEMY"
1189,"FULL SAIL UNIVERSITY"
119,"DAVINES PROFESSIONAL ACADEMY OF BEAUTY AND BUSINESS"
1190,"GEORGE STONE TECHNICAL COLLEGE"
1191,"GALEN COLLEGE OF NURSING-LOUISVILLE"
1192,"JEFFERSON COMMUNITY AND TECHNICAL COLLEGE"
1193,"MAYSVILLE COMMUNITY AND TECHNICAL COLLEGE"
1194,"KEY COLLEGE"
1195,"CORTIVA INSTITUTE-FLORIDA"
